Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,False,0001-01-01T00:00:00.0000000,00:00:00
Park,True,2024-01-23T11:33:58.8018010+01:00,08:30:00
Cake,True,2024-01-23T11:33:05.7620735+01:00,07:30:00
Milk and Cereals,True,2024-01-23T11:34:24.2945637+01:00,09:00:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,False,0001-01-01T00:00:00.0000000,00:00:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,False,0001-01-01T00:00:00.0000000,00:00:00
Parcel,False,0001-01-01T00:00:00.0000000,00:00:00
Salmon,True,2024-01-23T11:35:51.8565786+01:00,10:00:00
Teeth,True,2024-01-23T11:33:13.9130472+01:00,08:00:00
Water Plants1,False,0001-01-01T00:00:00.0000000,00:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,False,0001-01-01T00:00:00.0000000,00:00:00
Set Table,False,0001-01-01T00:00:00.0000000,00:00:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00

Session End: 2024-01-23T11:35:53.4540702+01:00
